province_id,province_name,geo_region,lon,lat,year,gdp_base_year,gdp,ndvi_sum,forest_loss_area_ha,chlor_a_sum_B150_D15,ntl_sum_unfiltered
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2007,2000,14319.15,40096.21,5024.07,3021.46,20167
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2007,2000,13740.12,171315.56,23991.48,23538.94,11155
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2007,2000,41242.73,91079.93,11283.3,33814.74,45556
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2007,2000,9331.72,86660.74,11767.86,22052.06,8659
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2007,2000,2339.22,34001.98,5103.9,2949.01,7903
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2007,2000,3567.82,47014.74,4807.98,6111.21,1798
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2007,2000,3621.68,121122.24,5406.66,44204.67,5874
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2007,2000,2501.18,98585.94,6330.78,12836.63,3097
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2008,2000,15874.19,38918.03,1890,2888.3,20445
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2008,2000,14761.73,159947.56,19775.52,20114.02,11679
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2008,2000,44456.76,85344.25,9668.43,32182.37,46107
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2008,2000,10010.59,80163.94,10289.61,18854.98,7908
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2008,2000,2520.67,33249.5,2117.97,2644.76,7709
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2008,2000,3998.5,44886.71,14616.81,5457.84,1626
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2008,2000,3774.78,113117.65,3631.23,32598.44,5492
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2008,2000,2651.11,95984.42,5890.32,10713.96,2860
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2009,2000,17116.75,41216.3,8214.66,3247.03,24492
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2009,2000,15943.32,171865.46,61735.59,21570.31,14188
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2009,2000,47225.02,91960.85,27817.92,32719.85,55022
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2009,2000,10768.58,87182.84,35638.65,19394.19,9009
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2009,2000,2710.74,34980.11,13336.83,3316.77,9548
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2009,2000,4239.46,45861.48,13903.74,4961.98,2219
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2009,2000,3980.15,126594.08,16172.55,35983.11,6237
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2009,2000,2812.04,102788.85,15824.16,15091.48,3898
